URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
bctech2026,https://insights.blackcoffer.com/text-summarizing-tool-to-scrape-and-summarize-pubmed-medical-papers/,41,4,0.82,0.09,18.9,0.21,7.644,18.92,101,492,2.1280487804878048,10,6.118870728083209
bctech2027,https://insights.blackcoffer.com/7up7down-10updown-snakes-and-ladder-games-built-using-oops/,28,3,0.81,0.07,17.8,0.2,7.2,17.81,93,463,2.1187904967602593,6,5.920560747663552
bctech2028,https://insights.blackcoffer.com/data-studio-dashboard-with-a-data-pipeline-tool-synced-with-podio-using-custom-webhooks-and-google-cloud-function/,30,9,0.54,0.07,16.5,0.2,6.68,16.46,118,576,2.138888888888889,3,6.04228855721393
bctech2029,https://insights.blackcoffer.com/end-to-end-tool-to-optimize-routing-and-planning-of-field-engineers-using-googles-cvrp-tw-algorithm/,39,10,0.59,0.1,18.3,0.24,7.416,18.32,124,513,2.1637426900584797,18,5.995890410958904
bctech2030,https://insights.blackcoffer.com/end-to-end-tool-to-predict-biofuel-prices-using-ieso-data/,34,14,0.42,0.09,15.7,0.21,6.364000000000001,15.71,114,550,2.1163636363636362,7,5.989515072083879
bctech2031,https://insights.blackcoffer.com/etl-discovery-tool-using-llma-langchain-openai/,34,4,0.79,0.06,15.1,0.18,6.112,15.09,120,649,2.012326656394453,12,6.147836538461538
bctech2032,https://insights.blackcoffer.com/gpt-ocr-api/,11,1,0.83,0.04,23.8,0.18,9.592,23.85,57,310,2.0451612903225804,6,5.77803738317757
bctech2033,https://insights.blackcoffer.com/dockerize-the-aws-lambda-for-serverless-architecture/,18,8,0.38,0.06,16.3,0.2,6.6000000000000005,16.33,88,441,2.258503401360544,4,6.5159010600706715
bctech2034,https://insights.blackcoffer.com/design-and-develop-a-product-recommendation-engine-based-on-the-features-of-products/,27,1,0.93,0.08,19.3,0.22,7.808,19.32,80,367,2.1716621253405997,3,6.1301775147929
bctech2035,https://insights.blackcoffer.com/database-discovery-tool-using-openai/,27,8,0.54,0.08,15.1,0.23,6.132000000000001,15.14,97,424,2.231132075471698,7,5.869706840390879
bctech2036,https://insights.blackcoffer.com/automate-the-data-management-process/,37,12,0.51,0.09,12.8,0.22,5.208000000000001,12.84,119,552,2.1431159420289854,3,5.63265306122449
bctech2037,https://insights.blackcoffer.com/realtime-kibana-dashboard-for-a-financial-tech-firm/,30,16,0.3,0.07,22.0,0.15,8.86,21.97,98,659,1.9286798179059181,12,5.176070038910506
bctech2038,https://insights.blackcoffer.com/data-management-etl-and-data-automation/,19,2,0.81,0.06,19.6,0.18,7.912000000000001,19.61,65,353,1.954674220963173,9,5.667326732673267
bctech2039,https://insights.blackcoffer.com/data-management-egeas/,15,2,0.76,0.06,17.4,0.19,7.0360000000000005,17.41,56,296,2.0777027027027026,7,5.614485981308412
bctech2040,https://insights.blackcoffer.com/design-and-develop-powershell-script/,15,2,0.76,0.06,40.0,0.18,16.072,40.0,49,280,2.0714285714285716,7,5.962466487935657
bctech2041,https://insights.blackcoffer.com/design-and-develop-jenkins-shared-library/,13,2,0.73,0.08,28.4,0.22,11.448,28.43,43,199,2.135678391959799,3,6.19140625
bctech2042,https://insights.blackcoffer.com/design-and-develop-retool-app-for-wholecell-io-and-asana-data-using-their-apis/,13,2,0.73,0.06,31.5,0.19,12.676000000000002,31.5,49,252,2.0674603174603177,6,5.884272997032641
bctech2043,https://insights.blackcoffer.com/design-and-develop-a-retool-app-that-will-show-stock-and-crypto-related-information-using-iex-api/,15,2,0.76,0.06,38.2,0.18,15.352000000000002,38.25,54,306,1.9705882352941178,3,5.75765306122449
bctech2044,https://insights.blackcoffer.com/crm-monday-com-make-com-to-data-warehouse-to-klipfolio-dashboard/,18,3,0.71,0.04,17.3,0.15,6.98,17.3,77,519,1.882466281310212,8,7.0508166969147
bctech2045,https://insights.blackcoffer.com/ner-task-using-bert-with-data-in-xml-format/,15,3,0.67,0.05,19.8,0.22,8.008000000000001,19.82,73,337,2.035608308605341,5,5.900662251655629
bctech2046,https://insights.blackcoffer.com/qualtrics-api-integration-using-python/,13,2,0.73,0.06,18.8,0.19,7.596000000000001,18.79,51,263,2.08745247148289,5,6.144117647058824
bctech2047,https://insights.blackcoffer.com/design-and-develop-mlops-framework-for-data-centric-ai/,16,3,0.68,0.06,30.7,0.21,12.364,30.7,63,307,2.0781758957654723,3,6.062344139650873
bctech2048,https://insights.blackcoffer.com/nlp-based-approach-for-data-transformation/,15,3,0.67,0.06,25.4,0.2,10.24,25.36,57,279,2.017921146953405,4,5.638403990024938
bctech2049,https://insights.blackcoffer.com/an-etl-tool-to-pull-data-from-shiphero-to-google-bigquery-data-warehouse/,21,5,0.62,0.07,19.8,0.18,7.992000000000001,19.75,70,395,2.030379746835443,11,5.489966555183947
bctech2050,https://insights.blackcoffer.com/plaid-financial-analytics-a-data-driven-dashboard-to-generate-insights/,19,3,0.73,0.07,21.3,0.2,8.6,21.27,63,319,2.0783699059561127,4,5.654661016949152
bctech2051,https://insights.blackcoffer.com/recommendation-engine-for-insurance-sector-to-expand-business-in-the-rural-area/,19,3,0.73,0.06,25.4,0.2,10.24,25.43,70,356,2.143258426966292,4,5.790291262135923
bctech2052,https://insights.blackcoffer.com/data-from-crm-via-zapier-to-google-sheets-dynamic-to-powerbi/,20,2,0.82,0.07,18.6,0.19,7.516000000000002,18.62,56,298,2.0167785234899327,6,5.615751789976134
bctech2053,https://insights.blackcoffer.com/data-warehouse-to-google-data-studio-looker-dashboard/,14,2,0.75,0.04,23.0,0.16,9.264000000000001,23.0,60,368,1.9701086956521738,11,6.31858407079646
bctech2054,https://insights.blackcoffer.com/crm-monday-com-via-zapier-to-power-bi-dashboard/,21,5,0.62,0.07,12.6,0.16,5.104,12.64,57,354,1.9943502824858756,18,5.227598566308243
bctech2055,https://insights.blackcoffer.com/monday-com-to-kpi-dashboard-to-manage-view-and-generate-insights-from-the-crm-data/,28,9,0.51,0.09,12.9,0.15,5.220000000000001,12.94,59,401,1.9301745635910224,8,5.253731343283582
bctech2056,https://insights.blackcoffer.com/data-management-for-a-political-saas-application/,14,5,0.47,0.05,14.7,0.21,5.964,14.74,84,398,2.0452261306532664,5,5.692870201096892
bctech2057,https://insights.blackcoffer.com/google-lsa-ads-google-local-service-ads-etl-tools-and-dashboards/,17,3,0.7,0.06,22.1,0.2,8.92,22.14,62,310,2.054838709677419,3,5.902380952380953
bctech2058,https://insights.blackcoffer.com/ad-networks-marketing-campaign-data-dashboard-in-looker-google-data-studio/,13,2,0.73,0.06,33.9,0.22,13.648,33.86,51,237,2.0759493670886076,3,6.311643835616438
bctech2059,https://insights.blackcoffer.com/analytical-solution-for-a-tech-firm/,15,4,0.58,0.08,23.6,0.21,9.524000000000001,23.6,49,236,2.0635593220338984,4,6.4
bctech2060,https://insights.blackcoffer.com/ai-solution-for-a-technology-information-and-internet-firm/,14,2,0.75,0.07,25.4,0.2,10.24,25.44,45,229,2.126637554585153,3,6.0
bctech2061,https://insights.blackcoffer.com/ai-and-nlp-based-solutions-to-automate-data-discovery-for-venture-capital-and-private-equity-principals/,17,3,0.7,0.07,22.9,0.19,9.236,22.92,57,298,2.0671140939597317,3,6.12962962962963
bctech2062,https://insights.blackcoffer.com/an-etl-solution-for-an-internet-publishing-firm/,21,2,0.83,0.07,18.3,0.17,7.388000000000002,18.26,58,347,1.968299711815562,12,5.472505091649695
bctech2063,https://insights.blackcoffer.com/ai-based-algorithmic-trading-bot-for-forex/,14,3,0.65,0.07,21.8,0.2,8.8,21.82,49,240,2.095833333333333,3,6.153333333333333
bctech2064,https://insights.blackcoffer.com/equity-waterfalls-model-based-saas-application-for-real-estate-sector/,13,5,0.44,0.05,14.1,0.17,5.708,14.08,61,352,2.09375,10,5.625231910946197
bctech2065,https://insights.blackcoffer.com/ai-solutions-for-foreign-exchange-an-automated-algo-trading-tool/,18,7,0.44,0.06,21.7,0.19,8.756,21.72,76,391,2.0588235294117645,6,5.649557522123894
bctech2066,https://insights.blackcoffer.com/ai-agent-development-and-deployment-in-jina-ai/,20,9,0.38,0.1,23.2,0.22,9.368,23.25,61,279,2.14336917562724,5,5.94025974025974
bctech2067,https://insights.blackcoffer.com/golden-record-a-knowledge-graph-database-approach-to-unfold-discovery-using-neo4j/,22,5,0.63,0.07,19.4,0.18,7.832,19.42,65,369,2.024390243902439,14,5.493738819320215
bctech2068,https://insights.blackcoffer.com/advanced-ai-for-trading-automation/,23,6,0.59,0.07,14.8,0.16,5.984000000000001,14.81,63,400,2.0325,11,5.57487091222031
bctech2069,https://insights.blackcoffer.com/create-a-knowledge-graph-to-provide-real-time-analytics-recommendations-and-a-single-source-of-truth/,14,6,0.4,0.08,17.6,0.19,7.116000000000001,17.6,51,264,2.0757575757575757,3,5.9714285714285715
bctech2070,https://insights.blackcoffer.com/advanced-ai-for-thermal-person-detection/,13,2,0.73,0.07,21.7,0.21,8.764000000000001,21.7,45,217,2.110599078341014,4,6.013937282229965
bctech2071,https://insights.blackcoffer.com/advanced-ai-for-road-cam-threat-detection/,13,4,0.53,0.07,22.7,0.22,9.168,22.7,50,227,2.1674008810572687,3,6.013029315960912
bctech2072,https://insights.blackcoffer.com/advanced-ai-for-pedestrian-crossing-safety/,15,5,0.5,0.09,19.6,0.22,7.928000000000001,19.58,51,235,2.1659574468085108,5,5.926829268292683
bctech2073,https://insights.blackcoffer.com/handgun-detection-using-yolo/,14,2,0.75,0.07,22.6,0.21,9.124,22.6,48,226,2.1283185840707963,4,6.2172413793103445
bctech2074,https://insights.blackcoffer.com/using-graph-technology-to-create-single-customer-view/,14,9,0.22,0.09,17.6,0.22,7.128,17.6,59,264,2.162878787878788,6,6.0363128491620115
bctech2075,https://insights.blackcoffer.com/car-detection-in-satellite-images/,21,3,0.75,0.07,16.0,0.17,6.468000000000001,16.0,61,352,1.9517045454545454,10,5.611111111111111
bctech2076,https://insights.blackcoffer.com/building-a-physics-informed-neural-network-for-circuit-evaluation/,22,7,0.52,0.08,15.9,0.2,6.440000000000001,15.88,76,381,2.083989501312336,14,5.8864059590316575
bctech2077,https://insights.blackcoffer.com/connecting-mongodb-database-to-power-bi-dashboard-dashboard-automation/,15,6,0.43,0.05,18.3,0.15,7.38,18.33,59,385,1.9766233766233767,12,5.556985294117647
bctech2078,https://insights.blackcoffer.com/data-transformation/,30,14,0.36,0.1,14.8,0.15,5.98,14.83,65,430,1.9883720930232558,13,5.32262996941896
bctech2079,https://insights.blackcoffer.com/e-commerce-store-analysis-purchase-behavior-ad-spend-conversion-traffic-etc/,16,2,0.78,0.05,17.0,0.16,6.864000000000001,17.04,61,392,1.9974489795918366,16,5.837429111531191
bctech2080,https://insights.blackcoffer.com/kpi-dashboard-for-accountants/,19,1,0.9,0.06,21.1,0.19,8.516000000000002,21.12,65,338,2.094674556213018,8,5.8559322033898304
bctech2081,https://insights.blackcoffer.com/return-on-advertising-spend-dashboard-marketing-automation-and-analytics-using-etl-and-dashboard/,34,5,0.74,0.06,16.2,0.18,6.552,16.24,114,617,2.1912479740680713,8,5.898285714285715
bctech2082,https://insights.blackcoffer.com/ranking-customer-behaviours-for-business-strategy/,13,3,0.62,0.05,29.1,0.18,11.712000000000002,29.1,53,291,2.0859106529209623,4,5.575117370892019
bctech2083,https://insights.blackcoffer.com/algorithmic-trading-for-multiple-commodities-markets-like-forex-metals-energy-etc/,17,1,0.89,0.05,18.8,0.2,7.6000000000000005,18.79,72,357,2.1512605042016806,3,5.716504854368932
bctech2084,https://insights.blackcoffer.com/trading-bot-for-forex/,10,2,0.67,0.06,33.3,0.24,13.416,33.33,47,200,2.155,3,5.992509363295881
bctech2085,https://insights.blackcoffer.com/python-model-for-the-analysis-of-sector-specific-stock-etfs-for-investment-purposes%ef%bf%bc/,16,3,0.68,0.06,18.3,0.2,7.4,18.33,65,330,2.124242424242424,6,5.4515503875969
bctech2086,https://insights.blackcoffer.com/medical-classification/,16,3,0.68,0.06,20.2,0.19,8.156,20.25,60,324,2.1049382716049383,7,5.836781609195402
bctech2087,https://insights.blackcoffer.com/design-develop-bert-question-answering-model-explanations-with-visualization/,10,1,0.82,0.05,28.4,0.21,11.444,28.38,48,227,2.158590308370044,4,6.184300341296928
bctech2088,https://insights.blackcoffer.com/design-and-develop-solution-to-anomaly-detection-classification-problems/,10,7,0.18,0.07,19.5,0.21,7.884,19.54,53,254,2.2283464566929134,7,6.023255813953488
bctech2089,https://insights.blackcoffer.com/an-etl-solution-for-currency-data-to-google-big-query/,16,13,0.1,0.09,19.4,0.16,7.824,19.44,49,311,1.9453376205787782,13,5.51508120649652
bctech2090,https://insights.blackcoffer.com/etl-and-mlops-infrastructure-for-blockchain-analytics/,10,1,0.82,0.03,31.6,0.18,12.712000000000002,31.64,62,348,2.0229885057471266,2,5.7635983263598325
bctech2091,https://insights.blackcoffer.com/an-agent-based-model-of-a-virtual-power-plant-vpp/,10,1,0.82,0.05,29.3,0.23,11.812000000000001,29.29,48,205,2.2,2,6.249027237354086
bctech2092,https://insights.blackcoffer.com/transform-api-into-sdk-library-and-widget/,19,2,0.81,0.08,33.6,0.21,13.524000000000001,33.62,56,269,2.141263940520446,3,5.945945945945946
bctech2093,https://insights.blackcoffer.com/integration-of-a-product-to-a-cloud-based-crm-platform/,16,8,0.33,0.07,15.7,0.19,6.356,15.67,63,329,2.0577507598784193,3,5.718004338394794
bctech2094,https://insights.blackcoffer.com/a-web-based-dashboard-for-the-filtered-data-retrieval-of-land-records/,21,5,0.62,0.08,19.2,0.17,7.748000000000001,19.22,58,346,2.031791907514451,2,5.810869565217391
bctech2095,https://insights.blackcoffer.com/integration-of-video-conferencing-data-to-the-existing-web-app/,10,1,0.82,0.04,25.1,0.2,10.120000000000001,25.08,59,301,2.0730897009966776,2,5.888607594936709
bctech2096,https://insights.blackcoffer.com/design-develop-an-app-in-retool-which-shows-the-progress-of-the-added-video/,10,1,0.82,0.05,34.0,0.23,13.692,34.0,47,204,2.176470588235294,4,5.884057971014493
bctech2097,https://insights.blackcoffer.com/auvik-connectwise-integration-in-grafana/,11,3,0.57,0.05,19.1,0.18,7.712000000000001,19.07,49,267,2.093632958801498,2,5.889487870619946
bctech2098,https://insights.blackcoffer.com/data-integration-and-big-data-performance-using-elk-stack/,13,3,0.62,0.05,17.6,0.18,7.112000000000001,17.61,56,317,2.034700315457413,4,5.880184331797235
bctech2099,https://insights.blackcoffer.com/web-data-connector/,10,2,0.67,0.04,17.9,0.19,7.236000000000001,17.93,52,269,2.096654275092937,3,5.806970509383378
bctech2100,https://insights.blackcoffer.com/an-app-for-updating-the-email-id-of-the-user-and-stripe-refund-tool-using-retool/,14,2,0.75,0.07,39.2,0.19,15.756,39.17,44,235,2.0595744680851062,5,5.753086419753086
bctech2101,https://insights.blackcoffer.com/an-ai-ml-based-web-application-that-detects-the-correctness-of-text-in-a-given-video/,9,9,0.0,0.06,39.6,0.18,15.912,39.57,49,277,2.003610108303249,4,5.638461538461539
bctech2102,https://insights.blackcoffer.com/website-tracking-and-insights-using-google-analytics-google-tag-manager/,32,3,0.83,0.06,17.3,0.17,6.988000000000001,17.34,103,607,2.054365733113674,5,5.359183673469388
bctech2103,https://insights.blackcoffer.com/dashboard-to-track-the-analytics-of-the-website-using-google-analytics-and-google-tag-manager/,30,2,0.87,0.05,17.2,0.17,6.948,17.24,111,638,2.0376175548589344,3,5.374628344895936
bctech2104,https://insights.blackcoffer.com/power-bi-dashboard-on-operations-transactions-and-marketing-embedding-the-dashboard-to-web-app/,9,1,0.8,0.05,27.0,0.24,10.896,27.0,45,189,2.2063492063492065,2,6.202479338842975
bctech2105,https://insights.blackcoffer.com/nft-data-automation-looksrare-and-etl-tool/,16,4,0.6,0.06,16.5,0.18,6.672000000000001,16.47,55,313,1.9968051118210863,5,5.372881355932203
bctech2106,https://insights.blackcoffer.com/optimize-the-data-scraper-program-to-easily-accommodate-large-files-and-solve-oom-errors/,15,3,0.67,0.07,20.5,0.22,8.288,20.5,53,246,2.1097560975609757,4,5.845481049562682
bctech2107,https://insights.blackcoffer.com/making-a-robust-way-to-sync-data-from-airtables-to-mongodb-using-python-etl-solution/,11,6,0.29,0.05,19.6,0.18,7.912000000000001,19.62,57,314,1.9713375796178343,3,5.409766454352441
bctech2108,https://insights.blackcoffer.com/incident-duration-prediction-infrastructure-and-real-estate/,11,2,0.69,0.05,21.8,0.2,8.8,21.77,56,283,2.127208480565371,6,5.814720812182741
bctech2109,https://insights.blackcoffer.com/statistical-data-analysis-of-reinforced-concrete/,16,3,0.68,0.05,19.4,0.25,7.859999999999999,19.39,87,349,2.2464183381088825,6,5.781783681214422
bctech2110,https://insights.blackcoffer.com/database-normalization-segmentation-with-google-data-studio-dashboard-insights/,13,1,0.86,0.05,14.6,0.19,5.916,14.63,54,278,2.08273381294964,10,5.7506561679790025
bctech2111,https://insights.blackcoffer.com/power-bi-dashboard-to-drive-insights-from-complex-data-to-generate-business-insights/,14,3,0.65,0.05,16.2,0.18,6.552,16.25,57,325,2.0,10,5.347107438016529
bctech2112,https://insights.blackcoffer.com/real-time-dashboard-to-monitor-infrastructure-activity-and-machines/,9,2,0.64,0.05,24.0,0.24,9.696,24.0,51,216,2.1944444444444446,4,6.0344827586206895
bctech2113,https://insights.blackcoffer.com/electric-vehicles-ev-load-management-system-to-forecast-energy-demand/,12,3,0.6,0.05,19.4,0.2,7.84,19.38,62,310,2.1516129032258067,9,5.778290993071593
bctech2114,https://insights.blackcoffer.com/power-bi-data-driven-map-dashboard/,9,1,0.8,0.06,33.2,0.25,13.380000000000003,33.2,41,166,2.2590361445783134,2,6.358851674641149
bctech2115,https://insights.blackcoffer.com/google-local-service-ads-lsa-leads-dashboard/,32,4,0.78,0.07,15.0,0.17,6.0680000000000005,14.97,86,509,1.9744597249508842,5,5.390625
bctech2116,https://insights.blackcoffer.com/aws-lex-voice-and-chatbot/,21,1,0.91,0.06,18.1,0.17,7.308000000000002,18.11,57,344,1.9563953488372092,7,5.416490486257928
bctech2117,https://insights.blackcoffer.com/metabridges-api-decentraland-integration/,10,3,0.54,0.04,16.8,0.16,6.784000000000001,16.85,53,337,2.0148367952522257,2,5.684807256235827
bctech2118,https://insights.blackcoffer.com/microsoft-azure-chatbot-with-luis-language-understanding/,14,1,0.87,0.06,23.7,0.2,9.56,23.7,47,237,2.1350210970464136,2,5.875
bctech2119,https://insights.blackcoffer.com/impact-of-news-media-and-press-on-innovation-startups-and-investments/,20,5,0.6,0.08,13.3,0.17,5.388000000000001,13.29,54,319,2.0031347962382444,10,5.423728813559322
bctech2120,https://insights.blackcoffer.com/aws-quicksight-reporting-dashboard/,17,4,0.62,0.06,23.1,0.19,9.316,23.13,66,347,2.0172910662824206,7,5.441814595660749
bctech2121,https://insights.blackcoffer.com/google-data-studio-dashboard-for-marketing-ads-and-traction-data/,21,3,0.75,0.05,22.4,0.16,9.024,22.35,73,447,1.9038031319910516,10,5.45565749235474
bctech2122,https://insights.blackcoffer.com/gangala-in-e-commerce-big-data-etl-elt-solution-and-data-warehouse/,17,3,0.7,0.06,19.5,0.19,7.876000000000001,19.5,59,312,2.0,10,5.391774891774892
bctech2123,https://insights.blackcoffer.com/big-data-solution-to-an-online-multivendor-marketplace-ecommerce-business/,28,1,0.93,0.08,29.8,0.17,11.988000000000001,29.75,60,357,1.977591036414566,7,5.572289156626506
bctech2124,https://insights.blackcoffer.com/creating-a-custom-report-and-dashboard-using-the-data-got-from-atera-api/,9,1,0.8,0.05,28.7,0.21,11.564,28.71,43,201,2.144278606965174,4,6.298804780876494
bctech2125,https://insights.blackcoffer.com/azure-data-lake-and-power-bi-dashboard/,14,3,0.65,0.06,17.6,0.27,7.148000000000001,17.6,71,264,2.2613636363636362,2,6.389048991354467
bctech2126,https://insights.blackcoffer.com/google-data-studio-pipeline-with-gcp-mysql/,9,3,0.5,0.05,28.8,0.2,11.600000000000001,28.75,47,230,2.1,3,5.915309446254072
bctech2127,https://insights.blackcoffer.com/quickbooks-dashboard-to-find-patterns-in-finance-sales-and-forecasts/,17,1,0.89,0.05,23.8,0.17,9.588000000000001,23.8,62,357,2.0672268907563027,4,5.871951219512195
bctech2128,https://insights.blackcoffer.com/marketing-sales-and-financial-data-business-dashboard-wink-report/,13,1,0.86,0.04,16.5,0.19,6.676000000000001,16.53,60,314,2.124203821656051,5,5.837899543378995
bctech2129,https://insights.blackcoffer.com/react-native-apps-in-the-development-portfolio/,8,1,0.78,0.04,51.0,0.16,20.464,51.0,42,255,1.8549019607843138,3,8.17674418604651
bctech2130,https://insights.blackcoffer.com/a-leading-firm-website-seo-optimization/,10,1,0.82,0.05,21.1,0.22,8.528,21.1,47,211,2.184834123222749,2,6.337121212121212
bctech2131,https://insights.blackcoffer.com/a-leading-hospitality-firm-in-the-usa-website-seo-optimization/,15,1,0.87,0.07,22.3,0.24,9.016,22.3,54,223,2.1390134529147984,2,6.044520547945205
bctech2132,https://insights.blackcoffer.com/a-leading-firm-in-the-usa-website-seo-optimization/,11,3,0.57,0.07,34.7,0.22,13.968000000000002,34.67,46,208,2.1153846153846154,2,6.286852589641434
bctech2133,https://insights.blackcoffer.com/a-leading-musical-instrumental-website-seo-optimization/,10,4,0.43,0.07,18.6,0.23,7.532000000000001,18.64,47,205,2.1707317073170733,2,6.252964426877471
bctech2134,https://insights.blackcoffer.com/a-leading-firm-in-the-usa-seo-and-website-optimization/,10,2,0.67,0.06,19.8,0.23,8.012,19.8,45,198,2.1616161616161618,2,6.346938775510204
bctech2135,https://insights.blackcoffer.com/immigration-datawarehouse-ai-based-recommendations/,17,1,0.89,0.06,17.7,0.2,7.16,17.72,63,319,2.0752351097178683,9,5.497907949790795
bctech2136,https://insights.blackcoffer.com/lipsync-automation-for-celebrities-and-influencers/,9,1,0.8,0.04,24.6,0.19,9.916000000000002,24.64,52,271,2.011070110701107,6,6.154761904761905
bctech2137,https://insights.blackcoffer.com/key-audit-matters-predictive-modeling/,11,9,0.1,0.05,20.7,0.19,8.356,20.68,74,393,2.122137404580153,5,5.412751677852349
bctech2138,https://insights.blackcoffer.com/splitting-of-songs-into-its-vocals-and-instrumental/,17,3,0.7,0.07,19.8,0.19,7.996000000000001,19.79,53,277,2.0541516245487363,3,5.653944020356234
bctech2139,https://insights.blackcoffer.com/ai-and-ml-technologies-to-evaluate-learning-assessments/,21,3,0.75,0.07,15.3,0.23,6.212000000000001,15.35,81,353,2.2492917847025495,14,5.639853747714808
bctech2140,https://insights.blackcoffer.com/datawarehouse-and-recommendations-engine-for-airbnb/,17,4,0.62,0.07,18.4,0.21,7.444,18.35,64,312,2.1474358974358974,9,5.6359550561797755
bctech2141,https://insights.blackcoffer.com/real-estate-data-warehouse/,14,1,0.87,0.04,19.2,0.19,7.756,19.17,64,345,2.046376811594203,3,5.665983606557377
bctech2142,https://insights.blackcoffer.com/traction-dashboards-of-marketing-campaigns-and-posts/,11,2,0.69,0.04,19.9,0.18,8.032,19.94,60,339,1.9970501474926254,10,5.7690677966101696
bctech2143,https://insights.blackcoffer.com/google-local-service-ads-lsa-data-warehouse/,11,1,0.83,0.05,20.6,0.21,8.324000000000002,20.58,51,247,2.125506072874494,2,5.8765432098765435
bctech2144,https://insights.blackcoffer.com/google-local-service-ads-missed-calls-and-messages-automation-tool/,10,2,0.67,0.05,30.1,0.19,12.116000000000001,30.12,46,241,2.0580912863070537,2,5.88125
bctech2145,https://insights.blackcoffer.com/marketing-ads-leads-call-status-data-tool-to-bigquery/,11,1,0.83,0.05,21.4,0.2,8.639999999999999,21.36,48,235,2.1531914893617023,2,6.045901639344263
bctech2146,https://insights.blackcoffer.com/marketing-analytics-to-automate-leads-call-status-and-reporting/,11,1,0.83,0.05,23.8,0.2,9.600000000000001,23.8,48,238,2.1176470588235294,2,5.955128205128205
